state,county,auction_source,auction_source_status,appraisal_district_source,appraisal_district_source_status,gis_source,gis_source_status,recorded_document_source,public_record_request_source,comptroller_directory_url,appraisal_district_name,appraisal_district_url,tax_assessor_collector_name,tax_assessor_collector_url,appraisal_district_verification_status,acquisition_method
TX,Bastrop,UNKNOWN,UNKNOWN,County Appraisal District named by the Texas Comptroller county directory,"DIRECTORY_LISTED (LEGAL_REVIEW_REQUIRED - county site not fetched, terms not reviewed)","UNKNOWN (Texas Comptroller Property Tax Data Reports and TNRIS/StratMap Land Parcels found as statewide candidates this phase, neither reviewed in depth)",UNKNOWN,UNKNOWN,UNKNOWN,https://comptroller.texas.gov/taxes/property-tax/county-directory/bastrop.php,Bastrop County Appraisal District,www.bastropcad.org,Ms. Ellen Owens,www.co.bastrop.tx.us,DIRECTORY_LISTED,OFFICIAL_PUBLIC_SEARCH
TX,Baylor,UNKNOWN,UNKNOWN,County Appraisal District named by the Texas Comptroller county directory,"DIRECTORY_LISTED (LEGAL_REVIEW_REQUIRED - county site not fetched, terms not reviewed)","UNKNOWN (Texas Comptroller Property Tax Data Reports and TNRIS/StratMap Land Parcels found as statewide candidates this phase, neither reviewed in depth)",UNKNOWN,UNKNOWN,UNKNOWN,https://comptroller.texas.gov/taxes/property-tax/county-directory/baylor.php,Baylor County Appraisal District,www.baylorcad.org,Jeanette Holub,www.co.baylor.tx.us,DIRECTORY_LISTED,OFFICIAL_PUBLIC_SEARCH
TX,Bee,UNKNOWN,UNKNOWN,County Appraisal District named by the Texas Comptroller county directory,"DIRECTORY_LISTED (LEGAL_REVIEW_REQUIRED - county site not fetched, terms not reviewed)","UNKNOWN (Texas Comptroller Property Tax Data Reports and TNRIS/StratMap Land Parcels found as statewide candidates this phase, neither reviewed in depth)",UNKNOWN,UNKNOWN,UNKNOWN,https://comptroller.texas.gov/taxes/property-tax/county-directory/bee.php,Bee County Appraisal District,www.beecad.org,Michelle Matus,www.co.bee.tx.us,DIRECTORY_LISTED,OFFICIAL_PUBLIC_SEARCH
TX,Bell,UNKNOWN,UNKNOWN,County Appraisal District named by the Texas Comptroller county directory,"DIRECTORY_LISTED (LEGAL_REVIEW_REQUIRED - county site not fetched, terms not reviewed)","UNKNOWN (Texas Comptroller Property Tax Data Reports and TNRIS/StratMap Land Parcels found as statewide candidates this phase, neither reviewed in depth)",UNKNOWN,UNKNOWN,UNKNOWN,https://comptroller.texas.gov/taxes/property-tax/county-directory/bell.php,Bell County Appraisal District,www.bellcad.org,Shay Luedeke,www.bellcountytx.com,DIRECTORY_LISTED,OFFICIAL_PUBLIC_SEARCH
TX,Bexar,"LGBS (tx_lgbs, named in prior recon docs - full 45+ county roster not re-extracted this phase)","APPROVED (production-practice, not formally rights-cleared - Phase 10B finding)",County Appraisal District named by the Texas Comptroller county directory,"DIRECTORY_LISTED (LEGAL_REVIEW_REQUIRED - county site not fetched, terms not reviewed)","UNKNOWN (Texas Comptroller Property Tax Data Reports and TNRIS/StratMap Land Parcels found as statewide candidates this phase, neither reviewed in depth)",UNKNOWN,UNKNOWN,UNKNOWN,https://comptroller.texas.gov/taxes/property-tax/county-directory/bexar.php,Bexar County Appraisal District,www.bcad.org,"Mr. Albert Uresti, MPA",www.bexar.org/tax,DIRECTORY_LISTED,OFFICIAL_PUBLIC_SEARCH
TX,Blanco,UNKNOWN,UNKNOWN,County Appraisal District named by the Texas Comptroller county directory,"DIRECTORY_LISTED (LEGAL_REVIEW_REQUIRED - county site not fetched, terms not reviewed)","UNKNOWN (Texas Comptroller Property Tax Data Reports and TNRIS/StratMap Land Parcels found as statewide candidates this phase, neither reviewed in depth)",UNKNOWN,UNKNOWN,UNKNOWN,https://comptroller.texas.gov/taxes/property-tax/county-directory/blanco.php,Blanco County Appraisal District,www.blancocad.com,Kristen Spies,www.co.blanco.tx.us,DIRECTORY_LISTED,OFFICIAL_PUBLIC_SEARCH
TX,Borden,UNKNOWN,UNKNOWN,County Appraisal District named by the Texas Comptroller county directory,"DIRECTORY_LISTED (LEGAL_REVIEW_REQUIRED - county site not fetched, terms not reviewed)","UNKNOWN (Texas Comptroller Property Tax Data Reports and TNRIS/StratMap Land Parcels found as statewide candidates this phase, neither reviewed in depth)",UNKNOWN,UNKNOWN,UNKNOWN,https://comptroller.texas.gov/taxes/property-tax/county-directory/borden.php,Borden County Appraisal District,www.bordencad.org,Benny Allison,www.co.borden.tx.us,DIRECTORY_LISTED,OFFICIAL_PUBLIC_SEARCH
TX,Bosque,UNKNOWN,UNKNOWN,County Appraisal District named by the Texas Comptroller county directory,"DIRECTORY_LISTED (LEGAL_REVIEW_REQUIRED - county site not fetched, terms not reviewed)","UNKNOWN (Texas Comptroller Property Tax Data Reports and TNRIS/StratMap Land Parcels found as statewide candidates this phase, neither reviewed in depth)",UNKNOWN,UNKNOWN,UNKNOWN,https://comptroller.texas.gov/taxes/property-tax/county-directory/bosque.php,Bosque County Appraisal District,www.bosquecad.com,Arlene Swiney,www.bosquecountytaxoffice.com,DIRECTORY_LISTED,OFFICIAL_PUBLIC_SEARCH
TX,Bowie,UNKNOWN,UNKNOWN,County Appraisal District named by the Texas Comptroller county directory,"DIRECTORY_LISTED (LEGAL_REVIEW_REQUIRED - county site not fetched, terms not reviewed)","UNKNOWN (Texas Comptroller Property Tax Data Reports and TNRIS/StratMap Land Parcels found as statewide candidates this phase, neither reviewed in depth)",UNKNOWN,UNKNOWN,UNKNOWN,https://comptroller.texas.gov/taxes/property-tax/county-directory/bowie.php,Bowie County Appraisal District,www.bowieappraisal.com,Josh Davis,www.co.bowie.tx.us,DIRECTORY_LISTED,OFFICIAL_PUBLIC_SEARCH
TX,Brazoria,UNKNOWN,UNKNOWN,County Appraisal District named by the Texas Comptroller county directory,"DIRECTORY_LISTED (LEGAL_REVIEW_REQUIRED - county site not fetched, terms not reviewed)","UNKNOWN (Texas Comptroller Property Tax Data Reports and TNRIS/StratMap Land Parcels found as statewide candidates this phase, neither reviewed in depth)",UNKNOWN,UNKNOWN,UNKNOWN,https://comptroller.texas.gov/taxes/property-tax/county-directory/brazoria.php,Brazoria County Appraisal District,www.brazoriacad.org,Kristin Bulanek,www.brazoriacountytx.gov,DIRECTORY_LISTED,OFFICIAL_PUBLIC_SEARCH
TX,Brazos,UNKNOWN,UNKNOWN,County Appraisal District named by the Texas Comptroller county directory,"DIRECTORY_LISTED (LEGAL_REVIEW_REQUIRED - county site not fetched, terms not reviewed)","UNKNOWN (Texas Comptroller Property Tax Data Reports and TNRIS/StratMap Land Parcels found as statewide candidates this phase, neither reviewed in depth)",UNKNOWN,UNKNOWN,UNKNOWN,https://comptroller.texas.gov/taxes/property-tax/county-directory/brazos.php,Brazos County Appraisal District,brazoscad.org,Melissa Leonard,www.brazostax.org,DIRECTORY_LISTED,OFFICIAL_PUBLIC_SEARCH
TX,Brewster,UNKNOWN,UNKNOWN,County Appraisal District named by the Texas Comptroller county directory,"DIRECTORY_LISTED (LEGAL_REVIEW_REQUIRED - county site not fetched, terms not reviewed)","UNKNOWN (Texas Comptroller Property Tax Data Reports and TNRIS/StratMap Land Parcels found as statewide candidates this phase, neither reviewed in depth)",UNKNOWN,UNKNOWN,UNKNOWN,https://comptroller.texas.gov/taxes/property-tax/county-directory/brewster.php,Brewster County Appraisal District,www.brewstercotad.org,Sylvia Vega,www.brewstercounty.gov,DIRECTORY_LISTED,OFFICIAL_PUBLIC_SEARCH
TX,Briscoe,UNKNOWN,UNKNOWN,County Appraisal District named by the Texas Comptroller county directory,"DIRECTORY_LISTED (LEGAL_REVIEW_REQUIRED - county site not fetched, terms not reviewed)","UNKNOWN (Texas Comptroller Property Tax Data Reports and TNRIS/StratMap Land Parcels found as statewide candidates this phase, neither reviewed in depth)",UNKNOWN,UNKNOWN,UNKNOWN,https://comptroller.texas.gov/taxes/property-tax/county-directory/briscoe.php,Briscoe County Appraisal District,www.briscoecad.org,UNKNOWN,UNKNOWN,DIRECTORY_LISTED,OFFICIAL_PUBLIC_SEARCH
TX,Brooks,UNKNOWN,UNKNOWN,County Appraisal District named by the Texas Comptroller county directory,"DIRECTORY_LISTED (LEGAL_REVIEW_REQUIRED - county site not fetched, terms not reviewed)","UNKNOWN (Texas Comptroller Property Tax Data Reports and TNRIS/StratMap Land Parcels found as statewide candidates this phase, neither reviewed in depth)",UNKNOWN,UNKNOWN,UNKNOWN,https://comptroller.texas.gov/taxes/property-tax/county-directory/brooks.php,Brooks County Appraisal District,www.brookscad.org,Sheriff Benny Martinez,www.co.brooks.tx.us,DIRECTORY_LISTED,OFFICIAL_PUBLIC_SEARCH
TX,Brown,UNKNOWN,UNKNOWN,County Appraisal District named by the Texas Comptroller county directory,"DIRECTORY_LISTED (LEGAL_REVIEW_REQUIRED - county site not fetched, terms not reviewed)","UNKNOWN (Texas Comptroller Property Tax Data Reports and TNRIS/StratMap Land Parcels found as statewide candidates this phase, neither reviewed in depth)",UNKNOWN,UNKNOWN,UNKNOWN,https://comptroller.texas.gov/taxes/property-tax/county-directory/brown.php,Brown County Appraisal District,www.brown-cad.org,Christine Pentecost,www.browncountytx.org,DIRECTORY_LISTED,OFFICIAL_PUBLIC_SEARCH
TX,Burleson,UNKNOWN,UNKNOWN,County Appraisal District named by the Texas Comptroller county directory,"DIRECTORY_LISTED (LEGAL_REVIEW_REQUIRED - county site not fetched, terms not reviewed)","UNKNOWN (Texas Comptroller Property Tax Data Reports and TNRIS/StratMap Land Parcels found as statewide candidates this phase, neither reviewed in depth)",UNKNOWN,UNKNOWN,UNKNOWN,https://comptroller.texas.gov/taxes/property-tax/county-directory/burleson.php,Burleson County Appraisal District,www.burlesonappraisal.com,Jessica Lucero,www.co.burleson.tx.us,DIRECTORY_LISTED,OFFICIAL_PUBLIC_SEARCH
TX,Burnet,"MVBA (tx_mvba) - BLOCKED, explicit non-commercial-use ToS - see claude/mvba-source-reconnaissance-blocked.md",BLOCKED,County Appraisal District named by the Texas Comptroller county directory,"DIRECTORY_LISTED (LEGAL_REVIEW_REQUIRED - county site not fetched, terms not reviewed)","UNKNOWN (Texas Comptroller Property Tax Data Reports and TNRIS/StratMap Land Parcels found as statewide candidates this phase, neither reviewed in depth)",UNKNOWN,UNKNOWN,UNKNOWN,https://comptroller.texas.gov/taxes/property-tax/county-directory/burnet.php,Burnet County Appraisal District,www.burnet-cad.org,DeAnne Fisher,www.burnetcountytexas.org,DIRECTORY_LISTED,OFFICIAL_PUBLIC_SEARCH
TX,Caldwell,RealAuction/RealForeclose (tx_realauction) - see data/tx_realauction_counties.csv,"APPROVED (production-practice, not formally rights-cleared - Phase 10B finding)",County Appraisal District named by the Texas Comptroller county directory,"DIRECTORY_LISTED (LEGAL_REVIEW_REQUIRED - county site not fetched, terms not reviewed)","UNKNOWN (Texas Comptroller Property Tax Data Reports and TNRIS/StratMap Land Parcels found as statewide candidates this phase, neither reviewed in depth)",UNKNOWN,UNKNOWN,UNKNOWN,https://comptroller.texas.gov/taxes/property-tax/county-directory/caldwell.php,Caldwell County Appraisal District,www.caldwellcad.org,Caldwell County Tax Assessor-Collector,www.co.caldwell.tx.us,DIRECTORY_LISTED,OFFICIAL_PUBLIC_SEARCH
TX,Calhoun,UNKNOWN,UNKNOWN,County Appraisal District named by the Texas Comptroller county directory,"DIRECTORY_LISTED (LEGAL_REVIEW_REQUIRED - county site not fetched, terms not reviewed)","UNKNOWN (Texas Comptroller Property Tax Data Reports and TNRIS/StratMap Land Parcels found as statewide candidates this phase, neither reviewed in depth)",UNKNOWN,UNKNOWN,UNKNOWN,https://comptroller.texas.gov/taxes/property-tax/county-directory/calhoun.php,Calhoun County Appraisal District,www.calhouncad.org,Kerri Boyd,www.calhouncotx.org,DIRECTORY_LISTED,OFFICIAL_PUBLIC_SEARCH
TX,Callahan,UNKNOWN,UNKNOWN,County Appraisal District named by the Texas Comptroller county directory,"DIRECTORY_LISTED (LEGAL_REVIEW_REQUIRED - county site not fetched, terms not reviewed)","UNKNOWN (Texas Comptroller Property Tax Data Reports and TNRIS/StratMap Land Parcels found as statewide candidates this phase, neither reviewed in depth)",UNKNOWN,UNKNOWN,UNKNOWN,https://comptroller.texas.gov/taxes/property-tax/county-directory/callahan.php,Callahan County Appraisal District,www.callahancad.org,Debbie Hatchett,www.co.callahan.tx.us,DIRECTORY_LISTED,OFFICIAL_PUBLIC_SEARCH
TX,Cameron,RealAuction/RealForeclose (tx_realauction) - see data/tx_realauction_counties.csv,"APPROVED (production-practice, not formally rights-cleared - Phase 10B finding)",County Appraisal District named by the Texas Comptroller county directory,"DIRECTORY_LISTED (LEGAL_REVIEW_REQUIRED - county site not fetched, terms not reviewed)","UNKNOWN (Texas Comptroller Property Tax Data Reports and TNRIS/StratMap Land Parcels found as statewide candidates this phase, neither reviewed in depth)",UNKNOWN,UNKNOWN,UNKNOWN,https://comptroller.texas.gov/taxes/property-tax/county-directory/cameron.php,Cameron County Appraisal District,www.cameroncad.org,Eddie Garcia,www.cameroncountytx.gov,DIRECTORY_LISTED,OFFICIAL_PUBLIC_SEARCH
TX,Camp,UNKNOWN,UNKNOWN,County Appraisal District named by the Texas Comptroller county directory,"DIRECTORY_LISTED (LEGAL_REVIEW_REQUIRED - county site not fetched, terms not reviewed)","UNKNOWN (Texas Comptroller Property Tax Data Reports and TNRIS/StratMap Land Parcels found as statewide candidates this phase, neither reviewed in depth)",UNKNOWN,UNKNOWN,UNKNOWN,https://comptroller.texas.gov/taxes/property-tax/county-directory/camp.php,Camp County Appraisal District,www.campcad.org,Mary Huffman,www.co.camp.tx.us,DIRECTORY_LISTED,OFFICIAL_PUBLIC_SEARCH
TX,Carson,UNKNOWN,UNKNOWN,County Appraisal District named by the Texas Comptroller county directory,"DIRECTORY_LISTED (LEGAL_REVIEW_REQUIRED - county site not fetched, terms not reviewed)","UNKNOWN (Texas Comptroller Property Tax Data Reports and TNRIS/StratMap Land Parcels found as statewide candidates this phase, neither reviewed in depth)",UNKNOWN,UNKNOWN,UNKNOWN,https://comptroller.texas.gov/taxes/property-tax/county-directory/carson.php,Carson County Appraisal District,www.carsoncad.org,Ashley Montgomery,www.carsoncountytax.org,DIRECTORY_LISTED,OFFICIAL_PUBLIC_SEARCH
TX,Cass,UNKNOWN,UNKNOWN,County Appraisal District named by the Texas Comptroller county directory,"DIRECTORY_LISTED (LEGAL_REVIEW_REQUIRED - county site not fetched, terms not reviewed)","UNKNOWN (Texas Comptroller Property Tax Data Reports and TNRIS/StratMap Land Parcels found as statewide candidates this phase, neither reviewed in depth)",UNKNOWN,UNKNOWN,UNKNOWN,https://comptroller.texas.gov/taxes/property-tax/county-directory/cass.php,Cass County Appraisal District,www.casscad.org,Angela Young,www.co.cass.tx.us,DIRECTORY_LISTED,OFFICIAL_PUBLIC_SEARCH
TX,Castro,UNKNOWN,UNKNOWN,County Appraisal District named by the Texas Comptroller county directory,"DIRECTORY_LISTED (LEGAL_REVIEW_REQUIRED - county site not fetched, terms not reviewed)","UNKNOWN (Texas Comptroller Property Tax Data Reports and TNRIS/StratMap Land Parcels found as statewide candidates this phase, neither reviewed in depth)",UNKNOWN,UNKNOWN,UNKNOWN,https://comptroller.texas.gov/taxes/property-tax/county-directory/castro.php,Castro County Appraisal District,https://castrocad.org/,Connie Gilbreath,www.co.castro.tx.us,DIRECTORY_LISTED,OFFICIAL_PUBLIC_SEARCH
TX,Chambers,UNKNOWN,UNKNOWN,County Appraisal District named by the Texas Comptroller county directory,"DIRECTORY_LISTED (LEGAL_REVIEW_REQUIRED - county site not fetched, terms not reviewed)","UNKNOWN (Texas Comptroller Property Tax Data Reports and TNRIS/StratMap Land Parcels found as statewide candidates this phase, neither reviewed in depth)",UNKNOWN,UNKNOWN,UNKNOWN,https://comptroller.texas.gov/taxes/property-tax/county-directory/chambers.php,Chambers County Appraisal District,www.chamberscad.org,Laurie Payton,www.chamberscountytx.gov,DIRECTORY_LISTED,OFFICIAL_PUBLIC_SEARCH
TX,Cherokee,UNKNOWN,UNKNOWN,County Appraisal District named by the Texas Comptroller county directory,"DIRECTORY_LISTED (LEGAL_REVIEW_REQUIRED - county site not fetched, terms not reviewed)","UNKNOWN (Texas Comptroller Property Tax Data Reports and TNRIS/StratMap Land Parcels found as statewide candidates this phase, neither reviewed in depth)",UNKNOWN,UNKNOWN,UNKNOWN,https://comptroller.texas.gov/taxes/property-tax/county-directory/cherokee.php,Cherokee County Appraisal District,www.cherokeecad.com,Shonda Potter,www.co.cherokee.tx.us,DIRECTORY_LISTED,OFFICIAL_PUBLIC_SEARCH
TX,Childress,UNKNOWN,UNKNOWN,County Appraisal District named by the Texas Comptroller county directory,"DIRECTORY_LISTED (LEGAL_REVIEW_REQUIRED - county site not fetched, terms not reviewed)","UNKNOWN (Texas Comptroller Property Tax Data Reports and TNRIS/StratMap Land Parcels found as statewide candidates this phase, neither reviewed in depth)",UNKNOWN,UNKNOWN,UNKNOWN,https://comptroller.texas.gov/taxes/property-tax/county-directory/childress.php,Childress County Appraisal District,www.childresscad.org,Kathy Dobbs,www.childresstx.us,DIRECTORY_LISTED,OFFICIAL_PUBLIC_SEARCH
TX,Clay,UNKNOWN,UNKNOWN,County Appraisal District named by the Texas Comptroller county directory,"DIRECTORY_LISTED (LEGAL_REVIEW_REQUIRED - county site not fetched, terms not reviewed)","UNKNOWN (Texas Comptroller Property Tax Data Reports and TNRIS/StratMap Land Parcels found as statewide candidates this phase, neither reviewed in depth)",UNKNOWN,UNKNOWN,UNKNOWN,https://comptroller.texas.gov/taxes/property-tax/county-directory/clay.php,Clay County Appraisal District,www.claycad.org,Patti Jackson,www.claycountytx.net,DIRECTORY_LISTED,OFFICIAL_PUBLIC_SEARCH
TX,Cochran,UNKNOWN,UNKNOWN,County Appraisal District named by the Texas Comptroller county directory,"DIRECTORY_LISTED (LEGAL_REVIEW_REQUIRED - county site not fetched, terms not reviewed)","UNKNOWN (Texas Comptroller Property Tax Data Reports and TNRIS/StratMap Land Parcels found as statewide candidates this phase, neither reviewed in depth)",UNKNOWN,UNKNOWN,UNKNOWN,https://comptroller.texas.gov/taxes/property-tax/county-directory/cochran.php,Cochran County Appraisal District,www.cochrancad.com,Dixie Mendoza,www.co.cochran.tx.us,DIRECTORY_LISTED,OFFICIAL_PUBLIC_SEARCH
TX,Coke,UNKNOWN,UNKNOWN,County Appraisal District named by the Texas Comptroller county directory,"DIRECTORY_LISTED (LEGAL_REVIEW_REQUIRED - county site not fetched, terms not reviewed)","UNKNOWN (Texas Comptroller Property Tax Data Reports and TNRIS/StratMap Land Parcels found as statewide candidates this phase, neither reviewed in depth)",UNKNOWN,UNKNOWN,UNKNOWN,https://comptroller.texas.gov/taxes/property-tax/county-directory/coke.php,Coke County Appraisal District,www.cokecad.org,Gina Williams,www.co.coke.tx.us,DIRECTORY_LISTED,OFFICIAL_PUBLIC_SEARCH
TX,Coleman,UNKNOWN,UNKNOWN,County Appraisal District named by the Texas Comptroller county directory,"DIRECTORY_LISTED (LEGAL_REVIEW_REQUIRED - county site not fetched, terms not reviewed)","UNKNOWN (Texas Comptroller Property Tax Data Reports and TNRIS/StratMap Land Parcels found as statewide candidates this phase, neither reviewed in depth)",UNKNOWN,UNKNOWN,UNKNOWN,https://comptroller.texas.gov/taxes/property-tax/county-directory/coleman.php,Coleman County Appraisal District,www.colemancad.net,Jamie Dodgen,www.co.coleman.tx.us,DIRECTORY_LISTED,OFFICIAL_PUBLIC_SEARCH
TX,Collin,UNKNOWN,UNKNOWN,County Appraisal District named by the Texas Comptroller county directory,"DIRECTORY_LISTED (LEGAL_REVIEW_REQUIRED - county site not fetched, terms not reviewed)","UNKNOWN (Texas Comptroller Property Tax Data Reports and TNRIS/StratMap Land Parcels found as statewide candidates this phase, neither reviewed in depth)",UNKNOWN,UNKNOWN,UNKNOWN,https://comptroller.texas.gov/taxes/property-tax/county-directory/collin.php,Collin County Appraisal District,www.collincad.org,Scott Grigg,www.collincountytx.gov,DIRECTORY_LISTED,OFFICIAL_PUBLIC_SEARCH
TX,Collingsworth,UNKNOWN,UNKNOWN,County Appraisal District named by the Texas Comptroller county directory,"DIRECTORY_LISTED (LEGAL_REVIEW_REQUIRED - county site not fetched, terms not reviewed)","UNKNOWN (Texas Comptroller Property Tax Data Reports and TNRIS/StratMap Land Parcels found as statewide candidates this phase, neither reviewed in depth)",UNKNOWN,UNKNOWN,UNKNOWN,https://comptroller.texas.gov/taxes/property-tax/county-directory/collingsworth.php,Collingsworth County Appraisal District,www.collingsworthcad.org,Sharon Sherwood,www.co.collingsworth.tx.us,DIRECTORY_LISTED,OFFICIAL_PUBLIC_SEARCH
TX,Colorado,UNKNOWN,UNKNOWN,County Appraisal District named by the Texas Comptroller county directory,"DIRECTORY_LISTED (LEGAL_REVIEW_REQUIRED - county site not fetched, terms not reviewed)","UNKNOWN (Texas Comptroller Property Tax Data Reports and TNRIS/StratMap Land Parcels found as statewide candidates this phase, neither reviewed in depth)",UNKNOWN,UNKNOWN,UNKNOWN,https://comptroller.texas.gov/taxes/property-tax/county-directory/colorado.php,Colorado County Appraisal District,www.coloradocad.org,Melinda Zajicek,www.co.colorado.tx.us,DIRECTORY_LISTED,OFFICIAL_PUBLIC_SEARCH
